,Current Trend,Accelerated Warming,Climate Action
2024-01-31,1.2624139996131905,1.2624139996131905,1.2624139996131905
2024-02-29,1.3425368365716883,1.3425368365716883,1.3425368365716883
2024-03-31,1.3814990579809643,1.3814990579809643,1.3814990579809643
2024-04-30,1.3700357193990866,1.3700357193990866,1.3700357193990866
2024-05-31,1.3123933644616406,1.3123933644616406,1.3123933644616406
2024-06-30,1.2251921669439496,1.2251921669439496,1.2251921669439496
2024-07-31,1.132972568619913,1.132972568619913,1.132972568619913
2024-08-31,1.061619687706785,1.061619687706785,1.0616196877067847
2024-09-30,1.0314274223428788,1.0314274223428788,1.0314274223428788
2024-10-31,1.0516607169701266,1.0516607169701266,1.0516607169701266
2024-11-30,1.1180730279529425,1.1180730279529425,1.1180730279529425
2024-12-31,1.2140441815160032,1.2140441815160035,1.214044181516003
2025-01-31,1.3150337358854105,1.3150337358854105,1.3150337358854103
2025-02-28,1.3951565728439084,1.3951565728439084,1.3951565728439084
2025-03-31,1.4341187942531843,1.4341187942531843,1.4341187942531843
2025-04-30,1.4226554556713067,1.422655455671307,1.4226554556713067
2025-05-31,1.3650131007338606,1.3650131007338606,1.3650131007338606
2025-06-30,1.2778119032161697,1.2778119032161697,1.2778119032161697
2025-07-31,1.185592304892133,1.185592304892133,1.185592304892133
2025-08-31,1.1142394239790048,1.114239423979005,1.1142394239790048
2025-09-30,1.0840471586150988,1.0840471586150988,1.0840471586150988
2025-10-31,1.1042804532423467,1.1042804532423467,1.1042804532423467
2025-11-30,1.1706927642251626,1.1706927642251626,1.1706927642251626
2025-12-31,1.266663917788223,1.2666639177882233,1.266663917788223
